,Year,Month,Store Number,Bottle Volume (ml),Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),City,State Bottle Cost,State Bottle Retail,2010_pop,2015_pop_est,2016_pop_est,Monthly Stores in City,Pop per Store
16,2015,1,2353,268375.0,1873.0,23613.77999999998,1869.65,494.1299999999991,CRESCO,9.67202127659575,14.536134751773055,3868.0,3818.0,3808.0,2,1909.0
17,2015,1,2367,95200.0,1015.0,11904.929999999998,831.35,219.53999999999982,SHENANDOAH,8.651226415094339,12.993490566037746,5150.0,5023.0,4972.0,5,1004.6
18,2015,1,2413,341000.0,4264.0,66237.47999999998,4243.0,1120.989999999998,DUBUQUE,10.891454545454543,16.34612121212122,57637.0,58762.0,58531.0,31,1895.5483870967741
19,2015,1,2445,138625.0,580.0,6176.839999999996,559.69,147.88000000000017,OAKLAND,8.824852941176472,13.24676470588236,1527.0,1513.0,1509.0,2,756.5
20,2015,1,2448,350425.0,1160.0,16664.28,1119.47,295.7399999999991,INDIANOLA,10.052400000000002,15.090053333333337,14782.0,15542.0,15785.0,8,1942.75
21,2015,1,2459,93450.0,595.0,6514.670000000001,577.0,152.3400000000001,GUTHRIE CENTER,7.927878787878788,11.910505050505051,1569.0,1515.0,1507.0,2,757.5
22,2015,1,2460,245150.0,1486.0,17797.510000000006,1457.32,384.8499999999996,HAMPTON,9.68178723404255,14.548255319148943,4461.0,4301.0,4239.0,4,1075.25
23,2015,1,2465,329200.0,1156.0,16608.69999999999,1056.2900000000002,279.1099999999997,DUBUQUE,11.239181286549698,16.871929824561395,57637.0,58762.0,58531.0,31,1895.5483870967741
24,2015,1,2475,89925.0,493.0,8418.999999999998,646.42,170.63000000000008,WEST BEND,11.546399999999998,17.324933333333338,785.0,763.0,755.0,1,763.0
25,2015,1,2478,45250.0,529.0,9601.84,507.75,134.18,ALTOONA,13.995999999999999,20.996000000000002,14541.0,17474.0,17938.0,9,1941.5555555555557
26,2015,1,2487,330500.0,2026.0,26402.809999999998,2218.8600000000006,586.1399999999982,ANAMOSA,9.187168141592926,13.802536873156356,5533.0,5410.0,5430.0,3,1803.3333333333333
27,2015,1,2498,25825.0,129.0,1280.05,114.2,30.149999999999995,ARLINGTON,7.088928571428572,10.641785714285714,429.0,409.0,406.0,1,409.0
28,2015,1,2500,930800.0,8550.0,116372.64999999988,8245.6,2178.870000000017,AMES,9.841189138576759,14.783567415730273,58965.0,65504.0,66191.0,25,2620.16
29,2015,1,2501,865325.0,7713.0,101914.60999999991,7332.100000000001,1936.8600000000085,AMES,10.046060291060277,15.094490644490598,58965.0,65504.0,66191.0,25,2620.16
30,2015,1,2502,498125.0,4905.0,66929.59999999995,5199.65,1373.6400000000046,ANKENY,10.716284046692591,16.092062256809342,45582.0,56109.0,58627.0,21,2671.8571428571427
31,2015,1,2505,339775.0,2830.0,36187.7,2752.8299999999986,727.229999999998,BOONE,8.877876344086017,13.33327956989248,12661.0,12678.0,12611.0,9,1408.6666666666667
32,2015,1,2506,555050.0,6452.0,91719.23999999996,6409.65,1693.4900000000089,BURLINGTON,10.402373472949384,15.618464223385685,25663.0,25432.0,25277.0,14,1816.5714285714287
33,2015,1,2507,191600.0,1687.0,17173.379999999994,1490.12,393.57999999999964,BURLINGTON,7.823381642512078,11.744396135265719,25663.0,25432.0,25277.0,14,1816.5714285714287
